TaxaRemoção;ImportânciaTotal;LatênciaEfetivaMédia
0;120;0.341465
0.01;120;0.341465
0.02;120;0.341465
0.03;120;0.341465
0.04;120;0.341465
0.05;120;0.341465
0.060000000000000005;106;0.308762
0.07;120;0.341465
0.08;84;0.525245
0.09;106;0.314216
0.09999999999999999;71;0.315474
0.10999999999999999;120;0.341465
0.11999999999999998;120;0.341465
0.12999999999999998;102;0.487491
0.13999999999999999;77;0.386088
0.15;41;0.426537
0.16;120;0.341465
0.17;78;0.343089
0.18000000000000002;83;0.507113
0.19000000000000003;86;0.299237
0.20000000000000004;85;0.527314
0.21000000000000005;88;0.301537
0.22000000000000006;106;0.308762
0.23000000000000007;66;0.360155
0.24000000000000007;51;0.602876
0.25000000000000006;106;0.314216
0.26000000000000006;21;0.993476
0.2700000000000001;67;0.356482
0.2800000000000001;66;0.552831
0.2900000000000001;67;0.367998
0.3000000000000001;84;0.374835
0.3100000000000001;32;0.278625
0.3200000000000001;36;0.305169
0.3300000000000001;82;0.305129
0.34000000000000014;44;0.506545
0.35000000000000014;65;0.589156
0.36000000000000015;70;0.268211
0.37000000000000016;61;0.400795
0.38000000000000017;82;0.305129
0.3900000000000002;58;0.482283
0.4000000000000002;57;0.353645
0.4100000000000002;63;0.373802
0.4200000000000002;44;0.471068
0.4300000000000002;59;0.458097
0.4400000000000002;51;0.356227
0.45000000000000023;22;0.514317
0.46000000000000024;29;0.523678
0.47000000000000025;20;0.274749
0.48000000000000026;50;0.312502
0.49000000000000027;46;0.728533
0.5000000000000002;55;0.605474
0.5100000000000002;59;0.514785
0.5200000000000002;82;0.305129
0.5300000000000002;30;0.517291
0.5400000000000003;49;0.486188
0.5500000000000003;54;0.724744
0.5600000000000003;22;0.573689
0.5700000000000003;54;0.405828
0.5800000000000003;12;0.089481
0.5900000000000003;85;0.520563
0.6000000000000003;56;0.507692
0.6100000000000003;37;0.461598
0.6200000000000003;30;0.559794
0.6300000000000003;72;0.576096
0.6400000000000003;0;0
0.6500000000000004;44;0.392815
0.6600000000000004;36;0.669813
0.6700000000000004;34;0.273044
0.6800000000000004;3;0.732057
0.6900000000000004;17;1.147913
0.7000000000000004;24;0.495497
0.7100000000000004;8;0
0.7200000000000004;43;0.535862
0.7300000000000004;30;0.314626
0.7400000000000004;5;0
0.7500000000000004;19;0.726965
0.7600000000000005;17;0.452436
0.7700000000000005;55;0.375446
0.7800000000000005;5;0
0.7900000000000005;14;0.661467
0.8000000000000005;1;0
0.8100000000000005;27;0.371073
0.8200000000000005;3;0.732057
0.8300000000000005;0;0
0.8400000000000005;8;0
0.8500000000000005;25;1.006833
0.8600000000000005;16;0.339899
0.8700000000000006;6;0.921248
0.8800000000000006;24;0.73164
0.8900000000000006;9;0
0.9000000000000006;0;0
0.9100000000000006;0;0
0.9200000000000006;0;0
0.9300000000000006;4;0
0.9400000000000006;8;0
0.9500000000000006;0;0
0.9600000000000006;0;0
0.9700000000000006;0;0
0.9800000000000006;0;0
1;0;0
